0,1,2,3,4
2013.06.04kedd,20,11,4.2,Könnyû esõzuhany
2013.06.05szerda,20,12,2.5,Könnyû esõzuhany
2013.06.06csütörtök,22,14,2.2,Könnyû esõzuhany
2013.06.07péntek,26,14,3.6,Könnyû esõ a mennydörgésnek
2013.06.08szombat,29,15,2.5,Napos
2013.06.09vasárnap,27,17,4.7,Napos
2013.06.10hétfő,27,13,5.6,Napos
2013.06.11kedd,21,12,4.7,Hûvös esõ a közelben
2013.06.12szerda,24,12,4.2,Hûvös esõ a közelben
2013.06.13csütörtök,28,15,3.6,Napos
2013.06.14péntek,28,15,3.3,Napos
2013.06.15szombat,30,16,1.7,Napos
2013.06.16vasárnap,31,18,1.7,Napos
2013.06.17hétfő,33,20,1.9,Napos
2013.06.18kedd,36,22,2.2,Napos
2013.06.19szerda,36,21,2.2,Napos
2013.06.20csütörtök,35,21,3.3,Napos
2013.06.21péntek,34,19,3.3,Napos
2013.06.22szombat,34,19,4.2,Napos
2013.06.23vasárnap,30,16,3.3,Napos
2013.06.24hétfő,25,13,6.7,Mérsékelt vagy heves esõzuhany
2013.06.25kedd,20,9,7.5,Felhõs
2013.06.26szerda,19,11,5.6,Részben felhõs
2013.06.27csütörtök,23,10,3.6,Részben felhõs
2013.06.28péntek,24,12,2.2,Részben felhõs
2013.06.29szombat,24,11,3.3,Könnyû esõzuhany
2013.06.30vasárnap,24,10,6.4,Hûvös esõ a közelben
2013.05.01szerda,28,13,3.3,Napos
2013.05.02csütörtök,28,16,4.7,Napos
2013.05.03péntek,25,11,4.4,Hûvös esõ a közelben
2013.05.04szombat,23,13,3.3,Napos
2013.05.05vasárnap,25,14,2.5,Részben felhõs
2013.05.06hétfő,25,16,5.3,A közelben vihogó kitörések
2013.05.07kedd,25,15,5.8,Könnyû esõ a mennydörgésnek
2013.05.08szerda,26,13,3.6,Napos
2013.05.09csütörtök,25,14,3.1,Napos
2013.05.10péntek,25,13,5.8,Napos
2013.05.11szombat,25,12,3.9,Napos
2013.05.12vasárnap,19,10,6.7,Hûvös esõ a közelben
2013.05.13hétfő,18,7,6.7,Napos
2013.05.14kedd,21,8,4.2,Napos
2013.05.15szerda,22,12,2.8,Részben felhõs
2013.05.16csütörtök,24,14,5.6,Részben felhõs
2013.05.17péntek,22,13,5.8,"Hûvös, könnyû szitálás"
2013.05.18szombat,22,13,5.8,Napos
2013.05.19vasárnap,27,11,5.6,Napos
2013.05.20hétfő,22,9,4.4,Napos
2013.05.21kedd,21,12,6.1,Napos
2013.05.22szerda,20,9,3.9,Könnyû esõzuhany
2013.05.23csütörtök,16,8,5.6,"Hûvös, könnyû szitálás"
2013.05.24péntek,20,9,3.1,Részben felhõs
2013.05.25szombat,18,8,3.9,Könnyû esõzuhany
2013.05.26vasárnap,18,6,6.4,Hûvös esõ a közelben
2013.05.27hétfő,14,8,5,Könnyû szitálás
2013.05.28kedd,20,9,5.8,Könnyû esõzuhany
2013.05.29szerda,25,15,4.2,Napos
2013.05.30csütörtök,18,7,5,Mérsékelt vagy heves esõzuhany
2013.05.31péntek,18,6,5.3,Könnyû esõzuhany
2013.01.01kedd,2,-2,3.9,Napos
2013.01.02szerda,2,-1,3.9,Részben felhõs
2013.01.03csütörtök,3,1,6.7,Részben felhõs
2013.01.04péntek,5,3,6.4,Felhõs
2013.01.05szombat,7,0,7.8,Napos
2013.01.06vasárnap,2,-2,5.3,Részben felhõs
2013.01.07hétfő,2,-3,3.6,Napos
2013.01.08kedd,0,-1,2.5,Részben felhõs
2013.01.09szerda,1,-1,2.8,Köd
2013.01.10csütörtök,2,-1,3.3,Köd
